age,sex,pb_surface,pb_elev,pb100k_time,pb100k_dec,avg_km,teique_sf,steu_b,stem_b
52.00,1.00,1,,13:43:20,13.71,50.00,,,
29.00,2.00,1,4100.00,23:30:00,23.50,65.00,5.20,15.00,9.92
,2.00,4,183.00,10:20:00,10.33,80.00,,,
70.00,2.00,3,137.00,08:42:32,8.70,65.00,5.47,14.00,11.58
42.00,1.00,3,217.00,18:00:00,18.00,65.00,,,
47.00,1.00,1,4000.00,12:50:00,12.83,70.00,4.13,12.00,13.17
47.00,2.00,4,1300.00,10:29:00,10.49,80.00,5.73,12.00,13.08
54.00,1.00,1,3596.00,13:20:00,13.33,75.00,4.83,12.00,13.58
33.00,1.00,1,2400.00,14:52:00,14.86,80.00,5.00,15.00,13.58
42.00,1.00,1,30.00,19:59:36,19.99,80.00,4.73,15.00,14.25
39.00,1.00,1,2800.00,15:40:00,15.66,70.00,,14.00,13.17
35.00,1.00,1,3048.00,22:22:43,22.36,60.00,,13.00,11.67
58.00,1.00,1,2195.00,22:24:00,22.40,75.00,4.77,13.00,11.75
43.00,2.00,4,884.00,16:00:00,16.00,100.00,4.83,13.00,13.00
27.00,2.00,1,3962.00,16:32:07,16.52,64.00,,10.00,10.92
48.00,2.00,2,0.00,11:15:00,11.25,75.00,5.27,,12.50
59.00,2.00,3,,13:04:00,13.06,90.00,5.50,12.00,11.00
19.00,2.00,4,305.00,09:36:11,9.60,42.00,3.53,13.00,
40.00,2.00,1,1600.00,14:15:00,14.25,90.00,4.73,9.00,
50.00,2.00,1,4877.00,20:00:00,20.00,40.00,4.47,,10.25
43.00,1.00,1,1829.00,20:00:00,20.00,60.00,5.30,6.00,
50.00,1.00,4,,13:45:00,13.75,90.00,5.33,12.00,13.00
56.00,2.00,1,4267.00,13:30:00,10.34,65.00,4.53,12.00,13.67
19.00,2.00,1,305.00,10:21:00,12.25,70.00,4.33,12.00,13.58
,1.00,1,4200.00,13:15:00,13.25,80.00,5.27,15.00,12.33
61.00,2.00,3,2438.00,12:00:00,12.00,25.00,5.07,7.00,
29.00,2.00,1,244.00,10:57:00,10.95,110.00,5.87,14.00,10.83
55.00,1.00,1,2000.00,16:45:00,16.75,35.00,4.83,11.00,10.17
56.00,2.00,1,5486.00,13:15:00,13.25,120.00,5.97,16.00,10.17
41.00,2.00,1,,14:00:00,14.00,,6.07,13.00,11.42
42.00,2.00,1,3353.00,13:39:00,13.65,75.00,5.53,17.00,12.67
30.00,2.00,1,8000.00,18:00:00,18.00,70.00,4.57,12.00,9.25
26.00,1.00,1,2743.00,18:00:00,18.00,75.00,4.43,15.00,12.00
52.00,2.00,1,3048.00,15:00:00,15.00,55.00,5.77,12.00,10.50
51.00,2.00,4,1890.00,12:42:00,12.70,80.00,5.17,,14.17
37.00,2.00,1,4500.00,17:30:00,17.50,60.00,4.93,10.00,15.08
42.00,1.00,1,,19:40:00,19.66,25.00,4.77,11.00,11.92
33.00,1.00,4,200.00,11:31:00,11.51,65.00,5.20,14.00,12.58
64.00,2.00,1,1200.00,12:43:00,12.71,50.00,5.47,16.00,11.00
40.00,1.00,1,7000.00,12:00:00,12.00,110.00,,15.00,13.00
